,Last_Update,Province_State,Country_Region,Confirmed,Deaths,Confirmed_perday,Deaths_perday
9,2022-11-25 04:21:06,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-26 04:21:11,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-27 04:21:05,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-28 04:21:02,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-29 04:21:05,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-30 04:21:07,Australian Capital Territory,Australia,209414,129,-2678.0,0.0
10,2022-11-23 04:21:06,New South Wales,Australia,3608974,5515,3399560.0,5386.0
10,2022-11-24 04:21:09,New South Wales,Australia,3608974,5515,0.0,0.0
10,2022-11-25 04:21:06,New South Wales,Australia,3640480,5540,31506.0,25.0
10,2022-11-26 04:21:11,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-27 04:21:05,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-28 04:21:02,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-29 04:21:05,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-30 04:21:07,New South Wales,Australia,3640480,5540,0.0,0.0
11,2022-11-23 04:21:06,Northern Territory,Australia,99410,79,-3541070.0,-5461.0
11,2022-11-24 04:21:09,Northern Territory,Australia,99410,79,0.0,0.0
11,2022-11-25 04:21:06,Northern Territory,Australia,99737,79,327.0,0.0
11,2022-11-26 04:21:11,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-27 04:21:05,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-28 04:21:02,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-29 04:21:05,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-30 04:21:07,Northern Territory,Australia,99737,79,0.0,0.0
12,2022-11-23 04:21:06,Queensland,Australia,1683096,2317,1583359.0,2238.0
12,2022-11-24 04:21:09,Queensland,Australia,1683096,2317,0.0,0.0
12,2022-11-25 04:21:06,Queensland,Australia,1693178,2317,10082.0,0.0
12,2022-11-26 04:21:11,Queensland,Australia,1693178,2331,0.0,14.0
12,2022-11-27 04:21:05,Queensland,Australia,1693178,2331,0.0,0.0
12,2022-11-28 04:21:02,Queensland,Australia,1693178,2331,0.0,0.0
12,2022-11-29 04:21:05,Queensland,Australia,1693178,2331,0.0,0.0
12,2022-11-30 04:21:07,Queensland,Australia,1693178,2331,0.0,0.0
13,2022-11-23 04:21:06,South Australia,Australia,800347,1060,-892831.0,-1271.0
13,2022-11-24 04:21:09,South Australia,Australia,800347,1060,0.0,0.0
13,2022-11-25 04:21:06,South Australia,Australia,800347,1060,0.0,0.0
13,2022-11-26 04:21:11,South Australia,Australia,809861,1067,9514.0,7.0
13,2022-11-27 04:21:05,South Australia,Australia,809861,1067,0.0,0.0
13,2022-11-28 04:21:02,South Australia,Australia,809861,1067,0.0,0.0
13,2022-11-29 04:21:05,South Australia,Australia,809861,1067,0.0,0.0
13,2022-11-30 04:21:07,South Australia,Australia,809861,1067,0.0,0.0
14,2022-11-23 04:21:06,Tasmania,Australia,258301,201,-551560.0,-866.0
14,2022-11-24 04:21:09,Tasmania,Australia,258301,201,0.0,0.0
14,2022-11-25 04:21:06,Tasmania,Australia,258301,201,0.0,0.0
14,2022-11-26 04:21:11,Tasmania,Australia,260950,201,2649.0,0.0
14,2022-11-27 04:21:05,Tasmania,Australia,260950,201,0.0,0.0
14,2022-11-28 04:21:02,Tasmania,Australia,260950,201,0.0,0.0
14,2022-11-29 04:21:05,Tasmania,Australia,260950,201,0.0,0.0
14,2022-11-30 04:21:07,Tasmania,Australia,260950,201,0.0,0.0
15,2022-11-23 04:21:06,Victoria,Australia,2707003,5978,2446053.0,5777.0
15,2022-11-24 04:21:09,Victoria,Australia,2710843,5990,3840.0,12.0
15,2022-11-25 04:21:06,Victoria,Australia,2714014,5999,3171.0,9.0
