id,createdAt,tweetText,location
1597639004580900864,2022-11-29 17:09:56+00:00,_whales It wasnt misinformation in the first place  It was the truth suppressed  Check out Ron Johnsons hearings on Covid vaccine injuries,
1597638970816724992,2022-11-29 17:09:47+00:00, viral components that make up the virus itself Again the  COVID19 vaccines do not contain the SARSCo2 virus so yo,The starship Plasma Storm
1597638889564680192,2022-11-29 17:09:28+00:00,  I got banned for saying I wont get the Covid vaccine,"Florida, USA"
1597638876671414272,2022-11-29 17:09:25+00:00,"_Juvenal   Updated on February 14 2022
The PfizerBioNTech and Moderna COVID19 vaccines have received full approval by the Food and Drug Administration FDA
",Alberta
1597638816512479232,2022-11-29 17:09:11+00:00, Probably because what was labeled COVID misinformation was actually the gods honest truth The vaccine doesnt work Masks dont work And the virus started in the Wuhan lab  So many people were canceled for pointing this out under the former misinformation rules,
1597638813550927872,2022-11-29 17:09:10+00:00, Covid bioweapon or not mainly targets elderly and immune compromised individuals Chances are almost all kids have,"Las Vegas, NV"
1597638796778303489,2022-11-29 17:09:06+00:00,  It was so clear that was a COVID problem not a vaccine problem,"England, United Kingdom"
1597638773172420609,2022-11-29 17:09:00+00:00, Adverse side effects of the   is due to stress caused by antivaxxers according to a study published on o,United States of America
1597638754499694592,2022-11-29 17:08:56+00:00, you might be interested in this data They are official numbers from Erie County NY Our idiot County Executive didnt get the memo the rest of the Dems got about burying inconvenient vaccine failure figures 94 of Covid deaths in the fully vaccinated ,"Buffalo, NY"
1597638718470643712,2022-11-29 17:08:47+00:00,    Phizer literally came out and said the vaccine dose not stop transmission Had Covid unvaccinated was sick for 3 days and am totally fine,Canada
1597638711596191744,2022-11-29 17:08:46+00:00,  They manipulated a virus and we got COVID19   Id call that a WMD  The vaccine was a feeble attempt to mitigate it,Ⓐ🏴☭🚩
1597638691479904256,2022-11-29 17:08:41+00:00,   Its an analogy Examples of things that offer overlapping levels of protection Being generally in good shape is good for Covid defense but the vaccine is even better,okc
1597638684647440384,2022-11-29 17:08:39+00:00," Important reality check 

 CBDCs are evil 
 Covid was a scam 
 Your money isnt real 
 Obesity isnt beautiful 
 M",
1597638677735575552,2022-11-29 17:08:38+00:00, Should see lower vaccine uptake across the board now that government and public health leaders have broken trust with the public after trying to coerce millions into taking Covid vaccines Any entirely predictable outcome,"Ottawa, Ontario"
1597638668944314368,2022-11-29 17:08:36+00:00,"If you have a moment please answer this poll question Should provincial funding be pulled from organizations requiring employeesparticipants to have a COVID19 vaccine

",Canada
1597638631849480192,2022-11-29 17:08:27+00:00, The Covid Vaccine is killing people all across this planet,
1597638604872126467,2022-11-29 17:08:20+00:00,"I tested positive for COVID   

How do you think I am  How I really am 

The name of this is VACCINE ",Brasil
1597638585011695617,2022-11-29 17:08:16+00:00, A new study describes successful animal tests of just such a vaccine offering hope that the country can be protected ag,International
1597638562975211521,2022-11-29 17:08:10+00:00,"_txt  my wackadoodle cousin tried to do this religious exemption crap on the covid vaccine

WE ARE CATHOLIC THE POPE SAYS ITS OUR DUTY TO PROTECT THE WEAK AND TO GET ALL VACCINATIONS 

Stupid","Texas, USA"
1597638530053951494,2022-11-29 17:08:02+00:00,Tis the season Get your updated COVID19 vaccine before the holidays There are  vaccine clinics throughout the Las Vegas Valley  ,"Las Vegas, Nevada"
1597638526601809920,2022-11-29 17:08:02+00:00, Vaccine mandates should not come from schools or from the state  The right to informed consent is a basic humanpatient,
1597638519195041793,2022-11-29 17:08:00+00:00," The worlds 1st nasal Covid vaccine was approved 3 months ago
So  where are the data
","Belo Horizonte, Brasil"
1597638511313956864,2022-11-29 17:07:58+00:00,Covid19 and the vaccine is a scam,"Alabama, USA"
1597638507937550336,2022-11-29 17:07:57+00:00,_cyhtt   Dr Grace please explain why governments need to threaten doctors who disagree with Covid vaccines with the revoking of their medical licenses Yet they still refuse to comply WHY would any doctor do such a thing unless they considered the vaccine a risk to their patients WHY,
1597638494171471872,2022-11-29 17:07:54+00:00, If they have the Covidvaccine theyre not even worth fucking ,
