id,createdAt,location,tweetText
1597639004580900864,2022-11-29 17:09:56+00:00,,_whales It wasnt misinformation in the first place  It was the truth suppressed  Check out Ron Johnsons hearings on Covid vaccine injuries
1597638970816724992,2022-11-29 17:09:47+00:00,The starship Plasma Storm, viral components that make up the virus itself Again the  COVID19 vaccines do not contain the SARSCo2 virus so yo
1597638889564680192,2022-11-29 17:09:28+00:00,"Florida, USA",  I got banned for saying I wont get the Covid vaccine
1597638876671414272,2022-11-29 17:09:25+00:00,Alberta,"_Juvenal   Updated on February 14 2022
The PfizerBioNTech and Moderna COVID19 vaccines have received full approval by the Food and Drug Administration FDA
"
1597638816512479232,2022-11-29 17:09:11+00:00,, Probably because what was labeled COVID misinformation was actually the gods honest truth The vaccine doesnt work Masks dont work And the virus started in the Wuhan lab  So many people were canceled for pointing this out under the former misinformation rules
1597638813550927872,2022-11-29 17:09:10+00:00,"Las Vegas, NV", Covid bioweapon or not mainly targets elderly and immune compromised individuals Chances are almost all kids have
1597638796778303489,2022-11-29 17:09:06+00:00,"England, United Kingdom",  It was so clear that was a COVID problem not a vaccine problem
1597638773172420609,2022-11-29 17:09:00+00:00,United States of America, Adverse side effects of the   is due to stress caused by antivaxxers according to a study published on o
1597638754499694592,2022-11-29 17:08:56+00:00,"Buffalo, NY", you might be interested in this data They are official numbers from Erie County NY Our idiot County Executive didnt get the memo the rest of the Dems got about burying inconvenient vaccine failure figures 94 of Covid deaths in the fully vaccinated 
1597638718470643712,2022-11-29 17:08:47+00:00,Canada,    Phizer literally came out and said the vaccine dose not stop transmission Had Covid unvaccinated was sick for 3 days and am totally fine
1597638711596191744,2022-11-29 17:08:46+00:00,,  They manipulated a virus and we got COVID19   Id call that a WMD  The vaccine was a feeble attempt to mitigate it
1597638691479904256,2022-11-29 17:08:41+00:00,okc,   Its an analogy Examples of things that offer overlapping levels of protection Being generally in good shape is good for Covid defense but the vaccine is even better
1597638684647440384,2022-11-29 17:08:39+00:00,," Important reality check 

 CBDCs are evil 
 Covid was a scam 
 Your money isnt real 
 Obesity isnt beautiful 
 M"
